GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000029059	1640.58013867369	0.363910418077444	0.0893638927776519	4.07056525868598	4.68992005542287e-05	0.0108582556073866
ENSMUSG00000097440	649.994212713541	-0.414822787310611	0.101867016893776	-4.07221002684879	4.65691579558777e-05	0.0108582556073866
ENSMUSG00000053411	2966.74044372043	0.336269978213819	0.0830888990749836	4.04584635637624	5.21344199497532e-05	0.0119315912140177
ENSMUSG00000086219	228.369968479128	-0.474520487465672	0.117802768585289	-4.03481002625157	5.46464929735565e-05	0.0122254642876009
ENSMUSG00000041730	10.4194075224059	0.290140306691505	0.0718226156731721	4.0369227111968	5.41569006755282e-05	0.0122254642876009
ENSMUSG00000040296	264.218358039479	0.462194216131362	0.114579925040791	4.0243129610812	5.71418870853723e-05	0.012349108867717
ENSMUSG00000042978	23273.6385623864	-0.32535416578893	0.0809226014009485	-4.02210622614958	5.76800323789706e-05	0.012349108867717
ENSMUSG00000058258	747.222404587331	-0.396508337476381	0.0985348580534076	-4.02384318267032	5.72560496021616e-05	0.012349108867717
ENSMUSG00000024810	1378.03502756997	0.402005596734243	0.0998011133868139	4.02354673055647	5.73282026213754e-05	0.012349108867717
ENSMUSG00000036634	6776.17055958638	-0.352409331611831	0.0878718894874235	-4.01275475614355	6.00142546617609e-05	0.0127121683464928
ENSMUSG00000042834	34562.3915076953	-0.317575045165382	0.0795028851060213	-3.99590884196667	6.44465308296949e-05	0.013507314477369
ENSMUSG00000022055	7763.038662447	0.364618044840607	0.0912842863459199	3.99133575643387	6.57021835918813e-05	0.0136270435156036
ENSMUSG00000037206	491.956769747822	-0.443181991789081	0.111432624875603	-3.98246011290692	6.82055742842365e-05	0.0140004246347777
ENSMUSG00000022054	4953.57998427403	0.421636264731089	0.105793902839081	3.97707007559733	6.97696093974629e-05	0.0141753335991111
ENSMUSG00000030638	581.573737293698	-0.452622343570168	0.114420167260808	-3.96901906021292	7.21691096945454e-05	0.0145147388194757
ENSMUSG00000049796	20.9299121573413	0.363565488283958	0.0911361409632118	3.9350924658546	8.31646713939014e-05	0.0161838267200397
ENSMUSG00000037235	4579.28396968338	-0.353317833164448	0.0899547385364049	-3.93000664767222	8.49435130991566e-05	0.0161838267200397
ENSMUSG00000042129	476.883348484314	0.431138774976312	0.109500584639287	3.93087375754894	8.4637707382731e-05	0.0161838267200397
ENSMUSG00000020893	4509.84917658027	-0.349978711465798	0.0891278761481963	-3.92887305466077	8.53448749738421e-05	0.0161838267200397
ENSMUSG00000046879	242.492349022052	0.455106125925438	0.115233950040739	3.93970169962526	8.15829867585767e-05	0.0161838267200397
ENSMUSG00000038843	610.71778553906	-0.4051254849984	0.103082202192063	-3.93087668693979	8.46366760329378e-05	0.0161838267200397
ENSMUSG00000041828	236.823076663199	0.456474003486706	0.116013660590463	3.92456839624887	8.68853718622148e-05	0.0163205154636657
ENSMUSG00000071847	876.830881446789	-0.374416303556007	0.0955429256098072	-3.91864022652922	8.90499171519297e-05	0.0165707747702063
ENSMUSG00000055945	1994.47143508208	-0.363248299905661	0.0928464412537958	-3.91411963058506	9.0734645096946e-05	0.0167279399863453
ENSMUSG00000023868	4092.48324650753	-0.348591168531355	0.0892102113312848	-3.90955522169055	9.24662165263423e-05	0.0168907783234496
ENSMUSG00000029602	435.256868770895	-0.426370095277132	0.10926231490259	-3.90382662573575	9.46836200065678e-05	0.0169841942157727
ENSMUSG00000075602	823.695270039928	0.386662199162156	0.0989560897618763	3.90445827296314	9.44366835396705e-05	0.0169841942157727
ENSMUSG00000045136	3089.68136555892	-0.33123194579352	0.0849632553205003	-3.89956914534818	9.63640152008693e-05	0.0171312848809331
ENSMUSG00000036402	2574.29948523066	-0.322240091268365	0.0829641495552522	-3.88461209636659	0.000102493396383118	0.0180596992511882
ENSMUSG00000075394	11.0200352035736	0.283967975714136	0.0733857780379379	3.86991762552696	0.000108872133072487	0.0190153775579498
ENSMUSG00000028927	915.768735701444	-0.366249346369923	0.0948628964017875	-3.86056090351666	0.000113127038380014	0.0194923267344818
ENSMUSG00000011884	1453.46209295159	-0.364294623134231	0.0944180712489407	-3.85962568065141	0.000113560840801561	0.0194923267344818
ENSMUSG00000041607	119196.453009945	-0.33639551411398	0.0874150634424312	-3.85074913824531	0.000117757071075073	0.0200398379673143
ENSMUSG00000026478	1451.59267034704	-0.342675407424645	0.0891973693537203	-3.8420804893076	0.000121995813407192	0.0205428189091399
ENSMUSG00000027852	1754.05237960856	-0.339107199379949	0.0883089758314984	-3.84051568646272	0.00012277612627129	0.0205428189091399
ENSMUSG00000022146	229.159690463776	0.459175934288821	0.119119967140675	3.8367938275301	0.0001246510349224	0.0206827229694993
ENSMUSG00000057455	3995.75277053315	0.329133868906003	0.0858054570876317	3.83424433789638	0.000125950896159787	0.0207256883755168
ENSMUSG00000027514	12.031819032513	0.291648503657771	0.0759485226758786	3.83212557047078	0.000127040863309325	0.0207336936832128
ENSMUSG00000031558	462.977884225082	0.432404256430601	0.112671910885439	3.82812286840155	0.000129124296142945	0.0209023891097739
ENSMUSG00000040653	550.597886020145	-0.389225642638513	0.102044240468817	-3.81344362802461	0.000137043795365666	0.0220054758832724
